WND
"250,1,N,0015,1"
"250,5,N,0026,5"
"300,5,N,0021,5"
"320,5,N,0015,5"
"320,5,N,0015,5"
"040,5,N,0021,5"
"340,5,N,0026,5"
"340,1,N,0026,1"
"999,9,C,0000,5"
"999,9,9,9999,9"
"360,5,N,0015,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"110,5,N,0015,5"
"999,9,C,0000,5"
"999,9,C,0000,1"
"999,9,C,0000,5"
"350,5,N,0015,5"
"999,9,C,0000,5"
"330,5,N,0015,5"
"330,5,N,0015,5"
"150,5,N,0015,5"
"260,5,N,0021,5"
"270,5,N,0015,5"
"270,1,N,0015,1"
"999,9,C,0000,5"
"310,5,N,0026,5"
"280,5,N,0021,5"
"270,5,N,0021,5"
"999,9,C,0000,5"
"290,5,N,0021,5"
"290,1,N,0021,1"
"050,5,N,0015,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"300,5,N,0015,5"
"999,9,C,0000,5"
"340,5,N,0036,5"
"340,1,N,0036,1"
"300,5,N,0026,5"
"999,9,9,9999,9"
"270,5,N,0015,5"
"999,9,C,0000,5"
"300,5,N,0026,5"
"300,5,N,0026,5"
"260,5,N,0031,5"
"260,1,N,0031,1"
"290,5,N,0015,5"
"999,9,C,0000,5"
"280,5,N,0015,5"
"330,5,N,0021,5"
"270,5,N,0021,5"
"999,9,C,0000,5"
"999,9,C,0000,1"
"999,9,C,0000,5"
"220,5,N,0015,5"
"999,9,C,0000,5"
"010,5,N,0015,5"
"360,5,N,0031,5"
"290,5,N,0015,5"
"290,1,N,0015,1"
"330,5,N,0021,5"
"330,5,N,0021,5"
"340,5,N,0026,5"
"010,5,N,0026,5"
"999,9,C,0000,5"
"270,5,N,0021,5"
"270,1,N,0021,1"
"999,9,C,0000,5"
"999,9,9,9999,9"
"999,9,C,0000,5"
"350,5,N,0021,5"
"260,5,N,0021,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,1"
"999,9,C,0000,5"
"320,5,N,0015,5"
"160,5,N,0015,5"
"190,5,N,0021,5"
"340,5,N,0015,5"
"290,5,N,0015,5"
"290,1,N,0015,1"
"999,9,C,0000,5"
"320,5,N,0026,5"
"320,5,N,0026,5"
"320,5,N,0026,5"
"310,5,N,0026,5"
"330,5,N,0021,5"
"999,9,C,0000,5"
"300,5,N,0021,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"010,5,N,0026,5"
"010,1,N,0026,1"
"020,5,N,0051,5"
"010,5,N,0031,5"
"040,5,N,0026,5"
"010,5,N,0031,5"
"010,5,N,0026,5"
"999,9,C,0000,5"
"999,9,V,0015,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,1"
"999,9,C,0000,5"
"280,5,N,0021,5"
"260,5,N,0015,5"
"999,9,9,9999,9"
"290,5,N,0031,5"
"320,5,N,0026,5"
"999,9,C,0000,5"
"290,5,N,0015,5"
"360,5,N,0021,5"
"360,1,N,0021,1"
"999,9,C,0000,5"
"999,9,C,0000,5"
"190,5,N,0015,5"
"310,5,N,0015,5"
"999,9,C,0000,5"
"140,5,N,0015,5"
"140,1,N,0015,1"
"120,5,N,0015,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"310,5,N,0031,5"
"310,1,N,0031,1"
